Year,State,Pop,Beneficiaries,Pct_Bene
2007,Rhode Island,677870,45757,6.8
2007,South Carolina,2774694,192696,6.9
2007,South Dakota,485769,21884,4.5
2007,Tennessee,3892116,285609,7.3
2007,Texas,14886857,673309,4.5
2007,Utah,1594526,48323,3.0
2007,Vermont,405476,24771,6.1
2007,Virginia,4976390,243181,4.9
2007,Washington,4174204,201961,4.8
2007,West Virginia,1143988,137993,12.1
2007,Wisconsin,3544060,173600,4.9
2007,Wyoming,333564,13590,4.1
2008,US_Total,191248160,10785828,5.6
2008,Alabama,2898356,277589,9.6
2008,Alaska,456140,17039,3.7
2008,Arizona,3930386,181714,4.6
2008,Arkansas,1745704,166318,9.5
2008,California,23277640,1070540,4.6
2008,Colorado,3221227,113022,3.5
2008,Connecticut,2211032,104175,4.7
2008,Delaware,545175,30861,5.7
2008,District of Columbia,409169,23902,5.8
2008,Florida,11136272,603114,5.4
2008,Georgia,6155879,322521,5.2
2008,Hawaii,812888,32602,4.0
2008,Idaho,929026,47001,5.1
2008,Illinois,8146995,398911,4.9
2008,Indiana,3978272,225768,5.7
2008,Iowa,1845388,90364,4.9
2008,Kansas,1734943,83089,4.8
2008,Kentucky,2695314,282795,10.5
2008,Louisiana,2762509,216665,7.8
2008,Maine,842402,71066,8.4
2008,Maryland,3613449,155297,4.3
2008,Massachusetts,4199836,260676,6.2
2008,Michigan,6308902,406409,6.4
2008,Minnesota,3315230,145625,4.4
2008,Mississippi,1800300,174629,9.7
2008,Missouri,3684901,247956,6.7
2008,Montana,609770,32368,5.3
2008,Nebraska,1095590,49076,4.5
2008,Nevada,1635649,66508,4.1
2008,New Hampshire,852473,48881,5.7
2008,New Jersey,5484138,241445,4.4
2008,New Mexico,1221855,79514,6.5
2008,New York,12474609,742992,6.0
2008,North Carolina,5839685,375758,6.4
2008,North Dakota,404157,17064,4.2
2008,Ohio,7184696,433162,6.0
2008,Oklahoma,2245689,155594,6.9
2008,Oregon,2418487,120724,5.0
2008,Pennsylvania,7775704,523839,6.7
