,index,RegName,State,Year,Pov,AvgAge,TotalWages,CompPerJob,TotalComp,TotalEmp,PIpercap,GDPpercap,Pop,Beneficiaries,Pct_Bene,CompPerCap,EmpPerCap,WagePerCap,d_pct_CompPerJob,d_pct_PIPerCap,d_pct_GDPPerCap,d_pct_CompPerCap,d_pct_WagePerCap,d_pct_EmpPerCap,d_pct_AvgAge,d_pct_Pov,BenePerCap,d_pct_BenePerCap,d_pct_CompPerJob_1,d_pct_PIPerCap_1,d_pct_GDPPerCap_1,d_pct_CompPerCap_1,d_pct_WagePerCap_1,d_pct_EmpPerCap_1,d_pct_AvgAge_1,d_pct_Pov_1,d_pct_BenePerCap_1
1,1,Northeast Region,Connecticut,2006,3457.0,37.93,94442932,65902,115423561,2204868,54191,67458,2216080,99238,0.04478087433666655,52084.56418540847,0.9949406158622432,42617.113100610084,0.03191156206939749,0.07894317684068008,0.02159559001696154,0.035040177627985836,0.04539589851523029,0.007211704483615966,0.01038891848694723,-0.0074648291702554825,0.04478087433666655,0.018538036871966312,,,,,,,,3483.0,
2,2,Northeast Region,Connecticut,2007,3471.0,37.82,100659186,69425,122699847,2249880,57919,70096,2209809,101904,0.046114392691857076,55525.091535060266,1.0181332413796849,45551.079753951584,0.05345816515432,0.06879371113284494,0.03910581398796298,0.06605656404082305,0.06884480059489295,0.023310562608143348,-0.0029000790930661102,0.004049754122071203,0.046114392691857076,0.029778747622590362,0.03191156206939749,0.07894317684068008,0.02159559001696154,0.035040177627985836,0.04539589851523029,0.007211704483615966,0.01038891848694723,3457.0,0.018538036871966312
3,3,Northeast Region,Connecticut,2008,3433.0,37.71,101501573,70259,124350263,2261293,61232,68777,2211032,104175,0.04711600736669573,56240.82464659037,1.022731918850564,45906.87651739097,0.012012963629816298,0.0572005732143166,-0.01881705090162067,0.012890264414569641,0.00781094027542828,0.0045167737227078675,-0.0029085140137493637,-0.010947853644482808,0.04711600736669573,0.02172021827396886,0.05345816515432,0.06879371113284494,0.03910581398796298,0.06605656404082305,0.06884480059489295,0.023310562608143348,-0.0029000790930661102,3471.0,0.029778747622590362
4,4,Northeast Region,Connecticut,2009,3472.0,38.16,96206697,69861,118711054,2203325,60428,65574,2222248,105744,0.04758424802272294,53419.35463548623,0.9914847487769142,43292.5114568671,-0.005664754693348928,-0.013130389338907755,-0.046570801285313435,-0.05016765008041535,-0.05694931258356184,-0.03055264971955507,0.01193317422434359,0.011360326245266616,0.04758424802272294,0.009938037669087185,0.012012963629816298,0.0572005732143166,-0.01881705090162067,0.012890264414569641,0.00781094027542828,0.0045167737227078675,-0.0029085140137493637,3433.0,0.02172021827396886
5,5,Northeast Region,Connecticut,2010,3541.0,38.59,97848445,72255,120890972,2173623,62126,64909,2250523,109855,0.048813098110972425,53716.83470908762,0.9658301648105796,43478.091536944965,0.03426804654957705,0.028099556496988143,-0.01014121450574923,0.005568769514931127,0.004286655447623078,-0.02587491537109554,0.011268343815513893,0.019873271889401023,0.048813098110972425,0.0258247243428682,-0.005664754693348928,-0.013130389338907755,-0.046570801285313435,-0.05016765008041535,-0.05694931258356184,-0.03055264971955507,0.01193317422434359,3472.0,0.009938037669087185
6,6,Northeast Region,Connecticut,2011,3514.0,38.56,101598704,74176,125223159,2208580,63849,63640,2261936,111529,0.0493068769408153,55361.053097877215,0.9764113573505174,44916.70144513372,0.026586395405162166,0.02773396001674011,-0.01955044754964641,0.030608996187026394,0.033088156755139986,0.010955541590495832,-0.0007774034724021828,-0.0076249646992374576,0.0493068769408153,0.010115703549901989,0.03426804654957705,0.028099556496988143,-0.01014121450574923,0.005568769514931127,0.004286655447623078,-0.02587491537109554,0.011268343815513893,3541.0,0.0258247243428682
7,7,Northeast Region,Connecticut,2012,3517.0,38.56,104278374,74991,127945966,2224479,65032,63506,2264077,114266,0.050469131571055224,56511.31388199253,0.9825103121492776,46057.78602052845,0.010987381363244175,0.01852808971166353,-0.0021055939660590273,0.020777436839607644,0.025404460672353135,0.006246296453688904,0.0,0.0008537279453613156,0.050469131571055224,0.023571856551268144,0.026586395405162166,0.02773396001674011,-0.01955044754964641,0.030608996187026394,0.033088156755139986,0.010955541590495832,-0.0007774034724021828,3514.0,0.010115703549901989
8,8,Northeast Region,Connecticut,2013,3545.0,38.84,105486854,75278,129339597,2247404,64131,62473,2264843,115550,0.05101898895420124,57107.53328155638,0.9923001285298805,46575.79090471172,0.0038271259217772524,-0.013854717677451056,-0.01626617957358356,0.010550443063647164,0.011246847252978753,0.009964085119053001,0.007261410788381717,0.00796133067955651,0.05101898895420124,0.010894924601028144,0.010987381363244175,0.01852808971166353,-0.0021055939660590273,0.020777436839607644,0.025404460672353135,0.006246296453688904,0.0,3517.0,0.023571856551268144
9,9,Northeast Region,Connecticut,2014,3577.0,39.1,109039641,76940,133245552,2265750,66770,62285,2265324,116274,0.05132775708905216,58819.64434226627,1.0001880525699636,48134.23642710711,0.022078163606897183,0.041150145795325166,-0.0030093000176075746,0.02998047652082425,0.033460419933260654,0.007949131329620274,0.006694129763130663,0.009026798307475215,0.05132775708905216,0.00605202378918368,0.0038271259217772524,-0.013854717677451056,-0.01626617957358356,0.010550443063647164,0.011246847252978753,0.009964085119053001,0.007261410788381717,3545.0,0.010894924601028144
10,10,Northeast Region,Connecticut,2015,3572.0,39.66,112326830,78771,137070920,2288491,68822,62800,2260021,116940,0.05174288203516693,60650.285992917765,1.0125972280788542,49701.675338415,0.0237977644918117,0.030732364834506587,0.0082684434454523,0.03112296361397826,0.03256390934302167,0.012406842370297877,0.01432225063938608,-0.0013978194017333356,0.05174288203516693,0.0080877281544669,0.022078163606897183,0.041150145795325166,-0.0030093000176075746,0.02998047652082425,0.033460419933260654,0.007949131329620274,0.006694129763130663,3577.0,0.00605202378918368
