,State,Year,MedExpDummy,ACA_Enroll,d_pct_ACA_Enroll,index,RegName,Pov,AvgAge,TotalWages,CompPerJob,TotalComp,TotalEmp,PIpercap,GDPpercap,Pop,Beneficiaries,Pct_Bene,CompPerCap,EmpPerCap,WagePerCap,d_pct_CompPerJob,d_pct_PIPerCap,d_pct_GDPPerCap,d_pct_CompPerCap,d_pct_WagePerCap,d_pct_EmpPerCap,d_pct_AvgAge,d_pct_Pov,BenePerCap,d_pct_BenePerCap,d_pct_CompPerJob_1,d_pct_PIPerCap_1,d_pct_GDPPerCap_1,d_pct_CompPerCap_1,d_pct_WagePerCap_1,d_pct_EmpPerCap_1,d_pct_AvgAge_1,d_pct_Pov_1,d_pct_BenePerCap_1
0,Alabama,2015,0,171641,2.118817458298506,340,South Region,4820.0,38.65,88319341,53958,109245826,2594292,38070,36750,2991321,326369,0.10910530832364698,36520.93038493695,0.8672730208493171,29525.196727465893,0.01824838180068311,0.03019970774476377,0.00618771218924552,0.0344702937855057,0.03923333222405967,0.01899153370880624,0.014702021527960074,0.011542497376705096,0.10910530832364698,-0.006816991259667837,0.028472168309913837,0.03286936105986915,-0.0023763349812897516,0.03847587740454794,0.035261546717259895,0.011932219018458756,-0.005223295899712599,4765.0,-0.0015789024874368618
1,Alaska,2015,0,21260,2.1893189318931894,516,West Region,703.0,35.35,21211022,76275,28019918,465780,56202,66835,479329,19402,0.04047741738972605,58456.546547361,0.971733402318658,44251.4890607495,0.024650725416442754,0.029208709506107322,-0.007897041578220798,0.030966351931933422,0.031009933321614058,0.012805911895306554,0.009135027119611783,0.012968299711815456,0.04047741738972605,0.00805857668805654,0.03398941563763147,0.061257409386842765,-0.03202770274153688,0.03501344074008572,0.03409470572791684,0.0002612799801502419,0.0020022883295194305,694.0,-0.012052554605771482
2,Arizona,2015,1,205666,2.5699085244137403,428,West Region,6728.0,37.93,134025161,59466,163137348,3542969,39217,38276,4085161,213207,0.05219059909756311,39934.12940150951,0.8672776911362857,32807.80390295511,0.015211267605633738,0.03053475233215086,-0.00044394536860525857,0.030722882297708365,0.03676055167693648,0.016150319199925267,0.008776595744680815,0.01066546492414,0.05219059909756311,-0.007214921126678764,0.020008358583220254,0.04094862957492196,2.6115115428826385e-05,0.028024249245857114,0.029424219763640957,0.009882600551406773,-0.0037095919448860704,6657.0,-0.008629758917755415
3,Arkansas,2015,1,65684,1.3976638072640992,384,South Region,2951.0,38.5,52464985,50865,64326150,1615649,38257,36259,1795755,191723,0.10676456420836918,35821.22839696952,0.899704581081495,29216.11522729994,0.0151681468915279,0.017987812990607033,0.0008556917301534295,0.030129643710244514,0.03835915006381141,0.016452474110076,0.008909853249476019,0.02075406433759941,0.10676456420836918,-0.0011955696292418327,0.02217552735729722,0.044351813255523176,0.01060031243026116,0.03347213357180956,0.034354206508826035,0.012020474337871567,-0.005732152162584825,2891.0,0.00043320823425108124
4,California,2015,1,1412200,0.6252059990609204,527,West Region,39081.0,37.12,1066514102,76805,1318982950,22625879,53949,56851,24835148,1174039,0.047273283815341065,53109.526466280775,0.9110426481050163,42943.73852734842,0.040154387865655394,0.055051433488481294,0.02903325067424478,0.06211292486586051,0.06734015067796117,0.021956436122728462,0.008695652173912993,0.010732943671442507,0.047273283815341065,-0.019364517605590326,0.027782417460052278,0.05278978793493927,0.0279276597328173,0.045419305975143986,0.049173124341290286,0.018366212171112117,0.0068399452804377425,38666.0,-0.015046523881192209
5,Colorado,2015,1,140327,0.6811870275191987,439,West Region,5420.0,37.46,146574055,65507,174893745,3563215,50971,52558,3487884,142232,0.04077887911409898,50143.22293975373,1.0215979086460445,42023.77573336728,0.01284866101799742,0.02304156714770289,0.012697739840844768,0.02446222022938027,0.03906715352514567,0.011172988893421776,0.0021401819154627244,0.008184523809523725,0.04077887911409898,-0.023125644796131217,0.03377395585250076,0.06404835127285158,0.02921112124697567,0.05491703496776279,0.05575701915207998,0.017804014884967412,0.0013394053040451936,5376.0,-2.4031407345526112e-05
6,Connecticut,2015,1,109839,0.9114069433568259,10,Northeast Region,3572.0,39.66,112326830,78771,137070920,2288491,68822,62800,2260021,116940,0.05174288203516693,60650.285992917765,1.0125972280788542,49701.675338415,0.0237977644918117,0.030732364834506587,0.0082684434454523,0.03112296361397826,0.03256390934302167,0.012406842370297877,0.01432225063938608,-0.0013978194017333356,0.05174288203516693,0.0080877281544669,0.022078163606897183,0.041150145795325166,-0.0030093000176075746,0.02998047652082425,0.033460419933260654,0.007949131329620274,0.006694129763130663,3577.0,0.00605202378918368
7,Delaware,2015,1,25036,2.8293055980422146,241,South Region,958.0,39.66,24497875,66300,30544215,569232,47727,63783,581033,36173,0.06225636065421413,52568.812786881295,0.9796896217598656,42162.62243280502,0.01413362701908949,0.05280921183243992,0.016283998024250623,0.029708650772614975,0.030541007590537905,0.016588623506652356,0.006088280060882578,0.031216361679224924,0.06225636065421413,0.0018827306351891782,0.026359169191641607,0.03415001368738024,0.036395462126591394,0.04304857675410778,0.04004455152614694,0.01602968457347287,0.019922380336351964,929.0,-0.0010648862307297557
8,Florida,2015,0,1596296,2.610818685009964,263,South Region,20071.0,40.48,403927220,58138,492462367,11287608,44487,39218,12223675,782410,0.06400775544179635,40287.58675275643,0.9234218023630373,33044.66291847583,0.03264653641207804,0.036872159421978745,0.020929869318477623,0.05181615390073402,0.05127474991330483,0.017844849681882602,0.00024709661477628764,0.019142886158220795,0.06400775544179635,-0.0033327669954545946,0.016722649618954755,0.05167046596563463,0.01286716236882346,0.03483872103876928,0.041815521192794414,0.022059445491364515,0.007468259895444307,19694.0,0.003756518518295504
9,Georgia,2015,0,541080,2.882299761069376,274,South Region,10100.0,36.64,224338646,61672,273864575,5827516,40367,43555,6405764,417329,0.06514898144858287,42752.835571213676,0.9097300493742823,35021.37231405965,0.021871686108165367,0.038432845419700046,0.014582217149246457,0.04095608689873731,0.04843185876188705,0.01940224996353268,-0.0038064165307232223,0.015279453156413325,0.06514898144858287,-0.001280425784594752,0.02037296904323127,0.045760249650274476,0.014102806387602751,0.041889172206366565,0.04891996876229565,0.023286424337200406,0.011273027220236598,9948.0,0.0029303708688388497
