"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"41000","Oregon","8","1000","Per capita real GDP by state","1","...","All industry total",33967,35256,35552,38193,37161,37669,38870,42196,42558,45752,46504,48508,47530,49602,51260,49391,48280,48378,50009
"42000","Pennsylvania","2","1000","Per capita real GDP by state","1","...","All industry total",38759,39924,41016,41857,42458,42756,43553,44585,45035,45021,46330,46862,45312,46388,46868,47536,48380,49193,50540
"44000","Rhode Island","1","1000","Per capita real GDP by state","1","...","All industry total",38025,39140,40034,41395,41989,43041,44625,46310,47176,48259,47137,45746,45280,46337,46036,46210,46441,46798,47413
"45000","South Carolina","5","1000","Per capita real GDP by state","1","...","All industry total",34069,34734,35728,36070,35902,36341,37283,37124,37397,37326,37724,36834,34955,35126,35609,35341,35661,36213,36620
"46000","South Dakota","4","1000","Per capita real GDP by state","1","...","All industry total",30784,32443,33574,35601,36327,40062,40909,42046,42762,42825,44017,45516,45457,45606,47979,46954,46960,46844,47785
"47000","Tennessee","5","1000","Per capita real GDP by state","1","...","All industry total",36910,38257,38930,38892,38631,39514,40463,41777,41868,42177,41172,40949,39096,39370,40188,41083,41493,41852,42647
"48000","Texas","6","1000","Per capita real GDP by state","1","...","All industry total",41366,43009,43825,44432,44784,44661,44330,45691,45966,47595,48954,48282,47034,47417,48339,50231,51844,53385,54964
"49000","Utah","7","1000","Per capita real GDP by state","1","...","All industry total",35533,36974,38084,38695,38849,38764,39094,40089,41657,44004,45293,43375,41563,41499,41987,41921,42248,42970,43688
"50000","Vermont","1","1000","Per capita real GDP by state","1","...","All industry total",32725,33514,35087,36622,37618,38541,39886,41165,41588,41754,41472,41764,40855,42170,43127,43045,42778,42903,43122
"51000","Virginia","5","1000","Per capita real GDP by state","1","...","All industry total",43069,44745,46223,47313,48194,47962,49191,50400,52305,52866,52657,51985,51389,51945,51749,51538,51105,50861,51540
